,Ubiquity
"Produção de artefatos estampados de metal, metalurgia do pó",15
"Serviços de usinagem, solda, tratamento e revestimento em metais",11
Fabricação de artigos de cutelaria,9
"Fabricação de artigos de serralheria, exceto esquadrias",4
Fabricação de ferramentas,4
Fabricação de produtos de trefilados de metal,10
Fabricação de artigos de metal para uso doméstico e pessoal,4
Fabricação de produtos de metal não especificados anteriormente,5
Fabricação de equipamentos transmissores de comunicação,5
"Fabricação de aparelhos e equipamentos de medida, teste e controle",14
"Fabricação de geradores, transformadores e motores elétricos",6
Fabricação de baterias e acumuladores para veículos automotores,13
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,7
Fabricação de aparelhos eletrodomésticos não especificados anteriormente,5
"Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários",4
"Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas",8
"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas",9
Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,15
Fabricação de aparelhos e equipamentos de ar condicionado,8
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente,8
Fabricação de máquinas-ferramenta,9
"Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",20
"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados",4
"Fabricação de cabines, carrocerias e reboques para veículos automotores",19
Fabricação de peças e acessórios para o sistema motor de veículos automotores,9
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente,9
Recondicionamento e recuperação de motores para veículos automotores,5
Construção de embarcações e estruturas flutuantes,5
Construção de embarcações para esporte e lazer,14
Fabricação de bicicletas e triciclos não motorizados,12
Fabricação de equipamentos de transporte não especificados anteriormente,10
Fabricação de móveis com predominância de madeira,16
Fabricação de móveis com predominância de metal,13
"Fabricação de móveis de outros materiais, exceto madeira e metal",7
Fabricação de colchões,15
Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria,19
Fabricação de bijuterias e artefatos semelhantes,6
Fabricação de brinquedos e jogos recreativos,11
Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,9
"Fabricação de escovas, pincéis e vassouras",11
Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional,8
Fabricação de produtos diversos não especificados anteriormente,13
"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",16
Manutenção e reparação de equipamentos eletrônicos e ópticos,8
Manutenção e reparação de máquinas e equipamentos elétricos,5
Manutenção e reparação de máquinas e equipamentos da indústria mecânica,13
Manutenção e reparação de aeronaves,7
Manutenção e reparação de embarcações,12
Manutenção e reparação de equipamentos e produtos não especificados anteriormente,12
Instalação de máquinas e equipamentos industriais,8
Instalação de equipamentos não especificados anteriormente,11
Geração de energia elétrica,13
Transmissão de energia elétrica,5
Comércio atacadista de energia elétrica,13
Distribuição de energia elétrica,13
"Produção de gás, processamento de gás natural, distribuição de combustíveis gasosos por redes urbanas",11
"Captação, tratamento e distribuição de água",20
Gestão de redes de esgoto,5
"Atividades relacionadas a esgoto, exceto a gestão de redes",7
Coleta de resíduos não perigosos,7
Coleta de resíduos perigosos,11
Tratamento e disposição de resíduos não perigosos,6
Tratamento e disposição de resíduos perigosos,18
Recuperação de materiais metálicos,6
Recuperação de materiais plásticos,4
Recuperação de materiais não especificados anteriormente,12
Descontaminação e outros serviços de gestão de resíduos,10
Incorporação de empreendimentos imobiliários,5
Construção de edifícios,14
Construção de rodovias e ferrovias,5
Construção de obras de arte especiais,2
"Obras de urbanização - ruas, praças e calçadas",3
Obras para geração e distribuição de energia elétrica e para telecomunicações,9
"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",8
Montagem de instalações industriais e de estruturas metálicas,9
Obras de engenharia civil não especificadas anteriormente,10
Demolição e preparação de canteiros de obras,10
Perfurações e sondagens,9
Obras de terraplenagem,7
Serviços de preparação do terreno não especificados anteriormente,10
Instalações elétricas,4
"Instalações hidráulicas, de sistemas de ventilação e refrigeração",5
Obras de instalações em construções não especificadas anteriormente,2
Obras de acabamento,3
Obras de fundações,9
Serviços especializados para construção não especificados anteriormente,11
Comércio a varejo e por atacado de veículos automotores,2
Representantes comerciais e agentes do comércio de veículos automotores,7
Manutenção e reparação de veículos automotores,1
Comércio de peças e acessórios para veículos automotores,2
"Comércio por atacado e a varejo de motocicletas, peças e acessórios",5
"Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios",6
Manutenção e reparação de motocicletas,6
Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos,8
"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos",2
"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",7
"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves",11
"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico",8
"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem",9
"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",6
Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,9
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,5
Comércio atacadista de café em grão,3
Comércio atacadista de soja,5
"Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja",7
Comércio atacadista de leite e laticínios,3
"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas",17
Comércio atacadista de hortifrutigranjeiros,6
"Comércio atacadista de carnes, produtos da carne e pescado",10
Comércio atacadista de bebidas,4
Comércio atacadista de produtos do fumo,1
Comércio atacadista especializado em produtos alimentícios não especificados anteriormente,7
Comércio atacadista de produtos alimentícios em geral,9
"Comércio atacadista de tecidos, artefatos de tecidos e de armarinho",6
Comércio atacadista de artigos do vestuário e acessórios,3
Comércio atacadista de calçados e artigos de viagem,5
Comércio atacadista de produtos farmacêuticos para uso humano e veterinário,15
"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico",15
"Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal",10
"Comércio atacadista de artigos de escritório e de papelaria, livros, jornais e outras publicações",15
Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,16
"Comércio atacadista de computadores, periféricos e suprimentos de informática",9
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,5
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário, partes e peças",7
"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção, partes e peças",7
"Comércio atacadista de máquinas e equipamentos para uso industrial, partes e peças",4
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar, partes e peças",5
"Comércio atacadista de máquinas e equipamentos para uso comercial, partes e peças",4
"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente, partes e peças",3
Comércio atacadista de madeira e produtos derivados,3
Comércio atacadista de ferragens e ferramentas,4
Comércio atacadista de material elétrico,8
Comércio atacadista de cimento,7
Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral,9
"Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP",2
Comércio atacadista de gás liquefeito de petróleo (GLP),2
"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",2
"Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos",4
"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",5
Comércio atacadista de papel e papelão em bruto e de embalagens,9
Comércio atacadista de resíduos e sucatas,15
Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente,6
"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",3
"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",5
"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",5
"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",2
"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",8
"Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios",1
"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes",7
Comércio varejista de carnes e pescados - açougues e peixarias,9
Comércio varejista de bebidas,9
Comércio varejista de hortifrutigranjeiros,6
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente, produtos do fumo ",1
Comércio varejista de combustíveis para veículos automotores,2
Comércio varejista de lubrificantes,5
Comércio varejista de tintas e materiais para pintura,6
Comércio varejista de material elétrico,4
Comércio varejista de vidros,4
"Comércio varejista de ferragens, madeira e materiais de construção",4
Comércio varejista especializado de equipamentos e suprimentos de informática,3
Comércio varejista especializado de equipamentos de telefonia e comunicação,3
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,15
"Comércio varejista especializado de móveis, colchoaria e artigos de iluminação",6
"Comércio varejista especializado de tecidos e artigos de cama, mesa e banho",8
Comércio varejista especializado de instrumentos musicais e acessórios,5
"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",6
Comércio varejista de artigos de uso doméstico não especificados anteriormente,5
"Comércio varejista de livros, jornais, revistas e papelaria",6
"Comércio varejista de discos, CDs, DVDs e fitas",6
Comércio varejista de artigos recreativos e esportivos,6
Comércio varejista de produtos farmacêuticos para uso humano e veterinário,2
"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",5
Comércio varejista de artigos médicos e ortopédicos,7
Comércio varejista de artigos de óptica,7
Comércio varejista de artigos do vestuário e acessórios,6
Comércio varejista de calçados e artigos de viagem,3
Comércio varejista de jóias e relógios,5
Comércio varejista de gás liqüefeito de petróleo (GLP),7
Comércio varejista de artigos usados,2
Comércio varejista de outros produtos novos não especificados anteriormente,4
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",8
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional",6
Transporte rodoviário de táxi,10
Transporte escolar,6
"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente",3
Transporte rodoviário de carga,4
Transporte por navegação interior de carga,7
Transporte por navegação interior de passageiros em linhas regulares,2
Navegação de apoio,4
Transporte por navegação de travessia,4
Transportes aquaviários não especificados anteriormente,4
Transporte aéreo de passageiros regular,4
Transporte aéreo de passageiros não regular,3
Armazenamento,2
Carga e descarga,7
Estacionamento de veículos,4
Atividades auxiliares dos transportes terrestres não especificadas anteriormente,14
Gestão de portos e terminais,5
Atividades de agenciamento marítimo,13
Atividades auxiliares dos transportes aéreos,4
Atividades relacionadas à organização do transporte de carga,2
Atividades de Correio,11
Atividades de malote e de entrega,6
Hotéis e similares,5
Outros tipos de alojamento não especificados anteriormente,3
Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,3
Serviços ambulantes de alimentação,6
"Serviços de catering, bufê e outros serviços de comida preparada",4
Edição de jornais,3
Edição de revistas,4
"Edição de cadastros, listas e outros produtos gráficos",7
Edição integrada à impressão de livros,4
Edição integrada à impressão de jornais,6
Edição integrada à impressão de revistas,2
"Edição integrada à impressão de cadastros, listas e outros produtos gráficos",5
"Atividades de produção cinematográfica, de vídeos e de programas de televisão",4
"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão",3
Atividades de exibição cinematográfica,5
Atividades de gravação de som e de edição de música,7
Atividades de rádio,7
Atividades de televisão aberta,3
Telecomunicações por fio,5
Telecomunicações sem fio,3
Telecomunicações por satélite,4
Outras atividades de telecomunicações,7
Desenvolvimento de programas de computador sob encomenda,6
Desenvolvimento e licenciamento de programas de computador customizáveis,6
Desenvolvimento e licenciamento de programas de computador não customizáveis,10
Consultoria em tecnologia da informação,5
"Suporte técnico, manutenção e outros serviços em tecnologia da informação",4
"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",10
"Portais, provedores de conteúdo e outros serviços de informação na internet",3
Agências de notícias,5
Outras atividades de prestação de serviços de informação não especificadas anteriormente,5
Bancos comerciais,5
"Bancos múltiplos, com carteira comercial",8
Caixas econômicas,5
Crédito cooperativo,3
Crédito imobiliário,4
Sociedades de capitalização,2
Holdings de instituições não financeiras,6
"Outras sociedades de participação, exceto holdings",2
Sociedades de fomento mercantil - factoring,6
Securitização de créditos,7
Administração de consórcios para aquisição de bens e direitos,4
Outras atividades de serviços financeiros não especificadas anteriormente,2
Seguros de vida,4
Seguros não vida,7
Seguros-saúde,9
Previdência complementar fechada,6
Previdência complementar aberta,7
Planos de saúde,7
"Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias",5
Administração de cartões de crédito,4
Atividades auxiliares dos serviços financeiros não especificadas anteriormente,3
Avaliação de riscos e perdas,3
"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2
Atividades de administração de fundos por contrato ou comissão,4
Atividades imobiliárias de imóveis próprios,5
"Intermediação na compra, venda e aluguel de imóveis",5
Gestão e administração da propriedade imobiliária,4
"Atividades jurídicas, exceto cartórios",5
Cartórios,4
"Atividades de contabilidade, consultoria e auditoria contábil e tributária",4
Atividades de consultoria em gestão empresarial,4
Serviços de arquitetura,4
Serviços de engenharia,2
Atividades técnicas relacionadas à arquitetura e engenharia,2
Testes e análises técnicas,4
Pesquisa e desenvolvimento experimental em ciências físicas e naturais,6
Pesquisa e desenvolvimento experimental em ciências sociais e humanas,6
Agências de publicidade,4
"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",4
Atividades de publicidade não especificadas anteriormente,2
Pesquisas de mercado e de opinião pública,5
Design e decoração de interiores,6
Atividades fotográficas e similares,8
"Atividades profissionais, científicas e técnicas não especificadas anteriormente",6
Atividades veterinárias,5
Locação de automóveis sem condutor,5
"Locação de meios de transporte, exceto automóveis, sem condutor",3
Aluguel de equipamentos recreativos e esportivos,3
"Aluguel de fitas de vídeo, DVDs e similares",4
"Aluguel de objetos do vestuário, jóias e acessórios",3
Aluguel de objetos pessoais e domésticos não especificados anteriormente,5
Aluguel de máquinas e equipamentos agrícolas sem operador,3
Aluguel de máquinas e equipamentos para construção sem operador,4
Aluguel de máquinas e equipamentos para escritório,4
Aluguel de máquinas e equipamentos não especificados anteriormente,5
Gestão de ativos intangíveis não financeiros,4
Seleção e agenciamento de mão de obra,6
Locação de mão de obra temporária,5
Fornecimento e gestão de recursos humanos para terceiros,8
Agências de viagens,7
Operadores turísticos,16
Serviços de reservas e outros serviços de turismo não especificados anteriormente,7
Atividades de vigilância e segurança privada,9
Atividades de transporte de valores,8
Atividades de monitoramento de sistemas de segurança,6
"Serviços combinados para apoio a edifícios, exceto condomínios prediais",7
Condomínios prediais,13
Limpeza em prédios e em domicílios,5
Imunização e controle de pragas urbanas,6
Atividades de limpeza não especificadas anteriormente,6
Atividades paisagísticas,5
Serviços combinados de escritório e apoio administrativo,6
"Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo",4
Atividades de teleatendimento,8
"Atividades de organização de eventos, exceto culturais e esportivos",7
Atividades de cobrança e informações cadastrais,3
Envasamento e empacotamento sob contrato,5
Atividades de serviços prestados principalmente às empresas não especificadas anteriormente,6
Administração pública em geral,4
"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",4
Regulação das atividades econômicas,4
Defesa,2
Justiça,14
Segurança e ordem pública,4
Seguridade social obrigatória,5
Educação infantil - creche,8
Educação infantil - pré-escola,15
Ensino fundamental,8
Ensino médio,7
Educação superior - graduação,4
Educação superior - graduação e pós-graduação,6
Educação superior - pós-graduação e extensão,2
Educação profissional de nível técnico,7
Atividades de apoio à educação,3
Ensino de esportes,3
Ensino de arte e cultura,5
Ensino de idiomas,1
Atividades de ensino não especificadas anteriormente,4
Atividades de atendimento hospitalar,1
Serviços móveis de atendimento a urgências,6
"Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências",6
Atividades de atenção ambulatorial executadas por médicos e odontólogos,4
Atividades de serviços de complementação diagnóstica e terapêutica,14
"Atividades de profissionais da área de saúde, exceto médicos e odontólogos",10
Atividades de apoio à gestão de saúde,8
Atividades de atenção à saúde humana não especificadas anteriormente,6
"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",7
Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio,5
"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química",6
Atividades de assistência social prestadas em residências coletivas e particulares,3
Serviços de assistência social sem alojamento,4
"Artes cênicas, espetáculos e atividades complementares",1
Atividades de bibliotecas e arquivos,14
"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",4
Gestão de instalações de esportes,6
"Clubes sociais, esportivos e similares",10
Atividades de condicionamento físico,9
Atividades esportivas não especificadas anteriormente,8
Parques de diversão e parques temáticos,10
Atividades de recreação e lazer não especificadas anteriormente,1
Atividades de organizações associativas patronais e empresariais,5
Atividades de organizações associativas profissionais,6
Atividades de organizações sindicais,10
Atividades de associações de defesa de direitos sociais,8
Atividades de organizações religiosas,8
Atividades de organizações políticas,9
Atividades de organizações associativas ligadas à cultura e à arte,6
Atividades associativas não especificadas anteriormente,11
Reparação e manutenção de computadores e de equipamentos periféricos,7
Reparação e manutenção de equipamentos de comunicação,6
Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,11
Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente,5
"Lavanderias, tinturarias e toalheiros",7
Cabeleireiros e outras atividades de tratamento de beleza,14
Atividades funerárias e serviços relacionados,3
Atividades de serviços pessoais não especificadas anteriormente,10
Serviços domésticos,8
Fabricação de produtos do refino de petróleo,14
Fabricação de aditivos de uso industrial,11
Fabricação de artefatos de borracha não especificados anteriormente,4
Fabricação de tubos e acessórios de material plástico para uso na construção,3
Educação profissional de nível tecnológico,3
Organismos internacionais e outras instituições extraterritoriais,9
Pesca em água salgada,9
Extração de petróleo e gás natural,14
Atividades de apoio à extração de petróleo e gás natural,7
Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,9
"Preparação e fiação de fibras têxteis naturais, exceto algodão",12
"Tecelagem de fios de fibras têxteis naturais, exceto algodão",10
"Fabricação de tecidos especiais, inclusive artefatos",5
Fabricação de celulose e outras pastas para a fabricação de papel,5
Fabricação de papel,4
Fabricação de embalagens de cartolina e papel-cartão,8
Fabricação de produtos químicos inorgânicos não especificados anteriormente,2
Fabricação de resinas termoplásticas,7
Fabricação de elastômeros,9
Fabricação de pneumáticos e de câmaras-de-ar,7
Produção de tubos de aço com costura,3
Metalurgia do alumínio e suas ligas,1
Metalurgia dos metais preciosos,5
Metalurgia do cobre,7
Fabricação de obras de caldeiraria pesada,7
Fabricação de embalagens metálicas,7
Fabricação de componentes eletrônicos,15
Fabricação de equipamentos de informática,12
Fabricação de periféricos para equipamentos de informática,14
Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação,7
"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",4
Fabricação de cronômetros e relógios,2
"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos",9
"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",3
Fabricação de material elétrico para instalações em circuito de consumo,9
"Fabricação de fios, cabos e condutores elétricos isolados",3
Fabricação de lâmpadas e outros equipamentos de iluminação,12
Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,5
"Fabricação de válvulas, registros e dispositivos semelhantes",11
Fabricação de equipamentos de transmissão para fins industriais,9
Fabricação de aparelhos e equipamentos para instalações térmicas,4
Fabricação de máquinas e equipamentos para saneamento básico e ambiental,9
"Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação",6
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,6
"Fabricação de automóveis, camionetas e utilitários",7
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,5
Fabricação de peças e acessórios para o sistema de freios de veículos automotores,5
"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",8
Fabricação de motocicletas,10
Fabricação de artefatos para pesca e esporte,8
"Produção e distribuição de vapor, água quente e ar condicionado",5
"Construção de redes de transportes por dutos, exceto para água e esgoto",9
"Obras portuárias, marítimas e fluviais",3
Transporte dutoviário,4
Transporte marítimo de cabotagem,3
Transporte marítimo de longo curso,6
Transporte aéreo de carga,5
Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,3
Edição de livros,2
Programadoras e atividades relacionadas à televisão por assinatura,7
Operadoras de televisão por assinatura por cabo,6
Agências de fomento,3
"Sociedades de crédito, financiamento e investimento - financeiras",8
Holdings de instituições financeiras,3
"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente",6
Defesa Civil,5
"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas",2
"Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares",7
Produção de semiacabados de aço,8
Criação artística,12
Caça e serviços relacionados,9
Extração de minério de alumínio,4
Extração de minério de manganês,9
"Fabricação de óleos vegetais refinados, exceto óleo de milho",8
Fabricação de vinho,5
Fabricação de tecidos de malha,8
Fabricação de artefatos de cordoaria,15
Fabricação de calçados de material sintético,10
Coquerias,9
Fabricação de intermediários para fertilizantes,3
Fabricação de desinfestantes domissanitários,7
Produção de ferro-gusa,11
Produção de ferroligas,12
Produção de laminados longos de aço,9
